날짜,종가,오픈,고가,저가,거래량,변동
2022-06-02,17.6,17.88,17.92,17.6,-,1.97%
2022-06-03,16.87,16.97,17.26,16.81,-,-4.15%
2022-06-07,18.1,17.92,18.33,17.62,-,7.29%
2022-06-08,17.1,17.71,17.84,17.1,-,-5.52%
2022-06-09,17,17.31,17.47,16.81,-,-0.58%
2022-06-10,18.29,18.2,18.96,18.07,-,7.59%
2022-06-13,23.3,21.22,23.85,21.09,-,27.39%
2022-06-14,23.74,24.84,25.87,23.18,-,1.89%
2022-06-15,24.27,23.7,25.98,23.39,-,2.23%
2022-06-16,23.72,22.34,23.8,21.66,-,-2.27%
2022-06-17,25.79,26.06,26.87,25.02,-,8.73%
2022-06-20,26.37,26.25,27.68,25.66,-,2.25%
2022-06-21,23.4,25.54,25.54,23.4,-,-11.26%
2022-06-22,25.64,23.24,25.69,23,-,9.57%
2022-06-23,25.92,24.57,26.53,24.09,-,1.09%
2022-06-24,23.94,25.34,25.44,23.87,-,-7.64%
2022-06-27,22.5,24.37,24.4,22.01,-,-6.02%
2022-06-28,21.21,22.13,22.29,21.21,-,-5.73%
2022-06-29,22.46,22.11,22.83,21.94,-,5.89%
2022-06-30,23.9,23,24,22.75,-,6.41%
