날짜,종가,전일비,등락률(%),시가,고가,저가,거래량
2022-06-30,"52,000","- 1,400",-2.62,"52,700","53,100","52,000","1,261,863"
2022-06-29,"53,400","- 1,300",-2.38,"54,000","54,600","53,400","1,012,764"
2022-06-28,"54,700",+ 200,0.37,"54,500","55,000","54,400","1,074,637"
2022-06-27,"54,500","+ 1,100",2.06,"53,900","54,900","53,700","1,232,570"
2022-06-24,"53,400","+ 1,300",2.5,"52,200","53,600","52,200","1,092,956"
2022-06-23,"52,100",- 900,-1.7,"52,800","53,000","51,700","1,330,252"
2022-06-22,"53,000",- 300,-0.56,"53,900","54,000","53,000","1,209,057"
2022-06-21,"53,300",- 300,-0.56,"53,200","54,000","53,200","924,633"
2022-06-20,"53,600","- 1,700",-3.07,"55,300","55,400","53,500","1,395,323"
2022-06-17,"55,300","- 2,200",-3.83,"55,800","56,300","55,300","2,545,751"
2022-06-16,"57,500","+ 1,700",3.05,"56,400","57,500","56,100","1,464,270"
2022-06-15,"55,800","- 1,400",-2.45,"56,800","57,000","55,800","1,955,055"
2022-06-14,"57,200",- 300,-0.52,"56,000","57,700","56,000","1,858,880"
2022-06-13,"57,500","- 1,000",-1.71,"57,600","58,000","57,500","1,931,957"
2022-06-10,"58,500","- 1,000",-1.68,"59,000","59,200","58,500","1,305,176"
2022-06-09,"59,500",+ 400,0.68,"59,700","59,700","59,000","790,603"
2022-06-08,"59,100",- 400,-0.67,"59,700","59,800","59,100","852,339"
2022-06-07,"59,500",- 700,-1.16,"60,300","60,400","59,500","1,044,146"
2022-06-03,"60,200", 0,0,"60,900","60,900","60,200","418,424"
2022-06-02,"60,200",- 500,-0.82,"60,300","60,700","60,200","976,497"
